"","seq_number","sum.taxonomy"
"96","merged_12S_miu_83","Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres"
"97","merged_12S_miu_86",""
"98","merged_12S_miu_89","Eukaryota;Chordata;Actinopteri;;Opistognathidae;Opistognathus;"
"99","merged_12S_miu_91","Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus marmoratus"
"100","merged_12S_miu_93","Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox maeandricus"
"101","merged_12S_miu_96",""
"102","merged_12S_miu_103",""
"103","merged_12S_miu_109","Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"104","merged_12S_miu_111",""
"105","merged_12S_miu_115","Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus burchami"
"106","merged_12S_miu_119","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Xystreurys;Xystreurys liolepis"
"107","merged_12S_miu_121","Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena helleri"
"108","merged_12S_miu_128","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea"
"109","merged_12S_miu_129",""
"110","merged_12S_miu_134",""
"111","merged_12S_miu_135","Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps"
"112","merged_12S_miu_138",""
"113","merged_12S_miu_139","Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;"
"114","merged_12S_miu_140","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus"
"115","merged_12S_miu_143","Eukaryota;Chordata;Actinopteri;NA;Opistognathidae;Opistognathus;Opistognathus iyonis"
"116","merged_12S_miu_147","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis"
"117","merged_12S_miu_148","Eukaryota;Chordata;Actinopteri;;;;"
"118","merged_12S_miu_155",""
"119","merged_12S_miu_160","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;"
"120","merged_12S_miu_161","Eukaryota;Chordata;Actinopteri;;;;"
"121","merged_12S_miu_170",""
"122","merged_12S_miu_175","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys xanthostigma"
"123","merged_12S_miu_180","Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus filamentosus"
"124","merged_12S_miu_181","Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;"
"125","merged_12S_miu_182","Eukaryota;Chordata;Mammalia;Primates;;;"
"126","merged_12S_miu_193",""
"127","merged_12S_miu_195","Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis punctipinnis"
"128","merged_12S_miu_199",""
"129","merged_12S_miu_205","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"130","merged_12S_miu_208",""
"131","merged_12S_miu_209","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"132","merged_12S_miu_212",""
"133","merged_12S_miu_216",""
"134","merged_12S_miu_221",""
"135","merged_12S_miu_222",""
"136","merged_12S_miu_238",""
"137","merged_12S_miu_249",""
"138","merged_12S_miu_263","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"139","merged_12S_miu_280","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"140","merged_12S_miu_288",""
"141","merged_12S_miu_309",""
"142","merged_12S_miu_316","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;"
"143","merged_12S_miu_353",""
"144","merged_12S_miu_372",""
"145","merged_12S_miu_378","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"146","merged_12S_miu_381",""
"147","merged_12S_miu_400",""
"148","merged_12S_miu_420",""
"149","merged_12S_miu_432",""
"150","merged_12S_miu_451",""
"151","merged_12S_miu_524",""
"152","merged_12S_miu_586",""
"153","merged_12S_miu_653",""
"154","merged_12S_miu_656","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"155","merged_12S_miu_771",""
"156","merged_12S_miu_773","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"157","merged_12S_miu_800","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"158","merged_12S_miu_804",""
"159","merged_12S_miu_805",""
"160","merged_12S_miu_808",""
"161","merged_12S_miu_824","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"162","merged_12S_miu_881",""
"163","merged_12S_miu_1048",""
"164","merged_12S_miu_1058",""
"165","merged_12S_miu_1090",""
"166","merged_12S_miu_1099",""
"167","merged_12S_miu_1167",""
"168","merged_12S_miu_1172",""
"169","merged_12S_miu_1196",""
"170","merged_12S_miu_1365",""
