"","seq_number","sum.taxonomy"
"252","merged_fishcard_12S_all_miu_19","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii"
"253","merged_fishcard_12S_all_miu_21","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"254","merged_fishcard_12S_all_miu_22","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata"
"255","merged_fishcard_12S_all_miu_23","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"256","merged_fishcard_12S_all_miu_24","Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;"
"257","merged_fishcard_12S_all_miu_25","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Katsuwonus;Katsuwonus pelamis"
"258","merged_fishcard_12S_all_miu_26",""
"259","merged_fishcard_12S_all_miu_27",""
"260","merged_fishcard_12S_all_miu_28",""
"261","merged_fishcard_12S_all_miu_29","Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum"
"262","merged_fishcard_12S_all_miu_30",""
"263","merged_fishcard_12S_all_miu_32","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus pulcher"
"264","merged_fishcard_12S_all_miu_33","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;"
"265","merged_fishcard_12S_all_miu_34",""
"266","merged_fishcard_12S_all_miu_36","Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus"
"267","merged_fishcard_12S_all_miu_37",""
"268","merged_fishcard_12S_all_miu_39",""
"269","merged_fishcard_12S_all_miu_40","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax nebulifer"
"270","merged_fishcard_12S_all_miu_41","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"271","merged_fishcard_12S_all_miu_42",""
"272","merged_fishcard_12S_all_miu_43",""
"273","merged_fishcard_12S_all_miu_46",""
"274","merged_fishcard_12S_all_miu_47","Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus"
"275","merged_fishcard_12S_all_miu_48",""
"276","merged_fishcard_12S_all_miu_49","Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi"
"277","merged_fishcard_12S_all_miu_50",""
"278","merged_fishcard_12S_all_miu_51","Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius gentilis"
"279","merged_fishcard_12S_all_miu_52",""
"280","merged_fishcard_12S_all_miu_53",""
"281","merged_fishcard_12S_all_miu_55",""
"282","merged_fishcard_12S_all_miu_56",""
"283","merged_fishcard_12S_all_miu_57",""
"284","merged_fishcard_12S_all_miu_58","Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;"
"285","merged_fishcard_12S_all_miu_63","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"286","merged_fishcard_12S_all_miu_65","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus"
"287","merged_fishcard_12S_all_miu_67","Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus"
"288","merged_fishcard_12S_all_miu_69",""
"289","merged_fishcard_12S_all_miu_75",""
"290","merged_fishcard_12S_all_miu_78",""
"291","merged_fishcard_12S_all_miu_81",""
"292","merged_fishcard_12S_all_miu_83","Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres"
"293","merged_fishcard_12S_all_miu_86",""
"294","merged_fishcard_12S_all_miu_89","Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus"
"295","merged_fishcard_12S_all_miu_91","Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis"
"296","merged_fishcard_12S_all_miu_93","Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon"
"297","merged_fishcard_12S_all_miu_96",""
"298","merged_fishcard_12S_all_miu_103",""
"299","merged_fishcard_12S_all_miu_109","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"300","merged_fishcard_12S_all_miu_111",""
"301","merged_fishcard_12S_all_miu_115","Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus quadriseriatus"
"302","merged_fishcard_12S_all_miu_119","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Xystreurys;Xystreurys liolepis"
"303","merged_fishcard_12S_all_miu_121","Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea"
"304","merged_fishcard_12S_all_miu_127","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus azureus"
"305","merged_fishcard_12S_all_miu_128",""
"306","merged_fishcard_12S_all_miu_134",""
"307","merged_fishcard_12S_all_miu_135","Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps"
"308","merged_fishcard_12S_all_miu_138",""
"309","merged_fishcard_12S_all_miu_139","Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena guttata"
"310","merged_fishcard_12S_all_miu_140","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus"
"311","merged_fishcard_12S_all_miu_143","Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;"
"312","merged_fishcard_12S_all_miu_147","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cynoglossidae;Symphurus;Symphurus atricaudus"
"313","merged_fishcard_12S_all_miu_148","Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps"
"314","merged_fishcard_12S_all_miu_155",""
"315","merged_fishcard_12S_all_miu_160","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola dorsalis"
"316","merged_fishcard_12S_all_miu_161","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Brachygenys;Brachygenys californiensis"
"317","merged_fishcard_12S_all_miu_170",""
