"","seq_number","sum.taxonomy"
"137","merged_CO1_272","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"138","merged_CO1_273","Eukaryota;Rhodophyta;Florideophyceae;Gelidiales;Gelidiellaceae;Parviphycus;Parviphycus sp. GHB-2016b"
"139","merged_CO1_279","Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;;"
"140","merged_CO1_280","Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii"
"141","merged_CO1_284",""
"142","merged_CO1_285",""
"143","merged_CO1_292","Eukaryota;;;;;;"
"144","merged_CO1_293","Eukaryota;;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;"
"145","merged_CO1_294","Eukaryota;NA;Oomycetes;Myzocytiopsidales;Myzocytiopsidaceae;Chlamydomyzium;Chlamydomyzium dictyuchoides"
"146","merged_CO1_308",""
"147","merged_CO1_314","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"148","merged_CO1_315","Eukaryota;;Phaeophyceae;Ectocarpales;Chordariaceae;;"
"149","merged_CO1_319","Eukaryota;;;;;;"
"150","merged_CO1_328","Eukaryota;;Dinophyceae;;;;"
"151","merged_CO1_329","Eukaryota;NA;Haptophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. NIES-1333"
"152","merged_CO1_330",""
"153","merged_CO1_338","Eukaryota;;;;;;"
"154","merged_CO1_343",""
"155","merged_CO1_344",""
"156","merged_CO1_345",""
"157","merged_CO1_352",""
"158","merged_CO1_353",""
"159","merged_CO1_355",""
"160","merged_CO1_371","Eukaryota;;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;"
"161","merged_CO1_378","Eukaryota;Chlorophyta;Ulvophyceae;NA;NA;Oltmannsiellopsis;Oltmannsiellopsis viridis"
"162","merged_CO1_381",""
"163","merged_CO1_383","Eukaryota;;;;;;"
"164","merged_CO1_387","Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013"
"165","merged_CO1_389","Eukaryota;;;;;;"
"166","merged_CO1_390",""
"167","merged_CO1_395",""
"168","merged_CO1_407",""
"169","merged_CO1_409",""
"170","merged_CO1_410",""
"171","merged_CO1_411",""
"172","merged_CO1_418","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique"
"173","merged_CO1_420","Eukaryota;Mollusca;Gastropoda;Nudibranchia;Trinchesiidae;Tenellia;Tenellia sp. E DS-2016"
"174","merged_CO1_429",""
"175","merged_CO1_430",""
"176","merged_CO1_433","Eukaryota;Annelida;Polychaeta;NA;Chrysopetalidae;Paleanotus;Paleanotus bellis"
"177","merged_CO1_435","Eukaryota;;Haptophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi"
"178","merged_CO1_447","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"179","merged_CO1_450","Eukaryota;;;;;;"
"180","merged_CO1_455",""
"181","merged_CO1_461","Eukaryota;;Phaeophyceae;Ectocarpales;Chordariaceae;Punctaria;Punctaria latifolia"
"182","merged_CO1_490","Eukaryota;Rhodophyta;Florideophyceae;;;;"
"183","merged_CO1_491","Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;;"
"184","merged_CO1_497","Eukaryota;;Phaeophyceae;Ectocarpales;;;"
"185","merged_CO1_508",""
"186","merged_CO1_523","Eukaryota;;;;;;"
"187","merged_CO1_525",""
"188","merged_CO1_532","Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae;Pycnococcus;Pycnococcus provasolii"
"189","merged_CO1_552",""
"190","merged_CO1_570",""
"191","merged_CO1_572","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"192","merged_CO1_577",""
"193","merged_CO1_578","Eukaryota;Rhodophyta;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;Devaleraea mollis"
"194","merged_CO1_580","Eukaryota;Bacillariophyta;;;;;"
"195","merged_CO1_586",""
"196","merged_CO1_599","Eukaryota;Arthropoda;;Sessilia;Balanidae;Balanus;"
"197","merged_CO1_601",""
"198","merged_CO1_607",""
"199","merged_CO1_626",""
"200","merged_CO1_647","Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia subanglica"
"201","merged_CO1_668","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;"
"202","merged_CO1_691","Eukaryota;;Phaeophyceae;Ectocarpales;;;"
"203","merged_CO1_697","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5"
"204","merged_CO1_705","Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis"
"205","merged_CO1_713",""
"206","merged_CO1_728","Eukaryota;;Oomycetes;;;;"
"207","merged_CO1_740","Eukaryota;;;;;;"
"208","merged_CO1_788","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5"
"209","merged_CO1_792","Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;;;"
"210","merged_CO1_819",""
"211","merged_CO1_845",""
"212","merged_CO1_853","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"213","merged_CO1_878",""
"214","merged_CO1_1019","Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;NA;Sabellariidae sp. BP2010-403"
"215","merged_CO1_1024","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"216","merged_CO1_1029","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"217","merged_CO1_1063","Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia sabit"
"218","merged_CO1_1071","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5"
"219","merged_CO1_1102",""
"220","merged_CO1_1140",""
"221","merged_CO1_1299","Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Phragmatopoma;Phragmatopoma californica"
"222","merged_CO1_1398","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39"
"223","merged_CO1_1409","Eukaryota;Arthropoda;Insecta;Plecoptera;Nemouridae;Nemoura;Nemoura cinerea"
"224","merged_CO1_1445","Eukaryota;;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;;"
"225","merged_CO1_1448","Eukaryota;;;;;;"
"226","merged_CO1_1461","Eukaryota;;;;;;"
"227","merged_CO1_1594","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique"
"228","merged_CO1_1672","Eukaryota;;;;;;"
"229","merged_CO1_1691","Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;;"
"230","merged_CO1_1708","Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum;Geotrichum candidum"
"231","merged_CO1_1816","Eukaryota;NA;Chrysophyceae;Chromulinales;Dinobryaceae;Poteriospumella;Poteriospumella lacustris"
"232","merged_CO1_1941","Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;;"
"233","merged_CO1_2035",""
"234","merged_CO1_2063","Eukaryota;Annelida;Polychaeta;NA;Poecilochaetidae;Poecilochaetus;Poecilochaetus martini"
"235","merged_CO1_2094",""
"236","merged_CO1_2147","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"237","merged_CO1_2169",""
"238","merged_CO1_2176","Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchoididae;Bursaphelenchus;Bursaphelenchus cocophilus"
"239","merged_CO1_2216","Eukaryota;;;;;;"
"240","merged_CO1_2357",""
"241","merged_CO1_2555",""
"242","merged_CO1_2651",""
"243","merged_CO1_3150","Eukaryota;NA;Labyrinthulomycetes;NA;NA;NA;labyrinthulid quahog parasite QPX"
"244","merged_CO1_3479",""
"245","merged_CO1_3614","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique"
"246","merged_CO1_3831",""
"247","merged_CO1_3975","Eukaryota;NA;Haptophyceae;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana"
"248","merged_CO1_4209",""
"249","merged_CO1_4824","Eukaryota;Arthropoda;Insecta;Diptera;Psychodidae;Brumptomyia;Brumptomyia sp. BOLD:ACM5394"
"250","merged_CO1_4960",""
"251","merged_CO1_4983",""
"252","merged_CO1_4984","Eukaryota;Mollusca;Bivalvia;;;;"
"253","merged_CO1_4985","Eukaryota;;Phaeophyceae;Ectocarpales;;;"
"254","merged_CO1_5360","Eukaryota;Rhodophyta;Florideophyceae;;;;"
"255","merged_CO1_5577","Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;"
"256","merged_CO1_5578",""
"257","merged_CO1_5579",""
"258","merged_CO1_5580",""
"259","merged_CO1_5581",""
"260","merged_CO1_5827",""
