sum.taxonomy	Metazoa_16s_LA11.1.R2.S26.L001	Metazoa_16s_LA11.1.R3.S27.L001	Metazoa_16s_LA11.2.R1.S28.L001	Metazoa_16s_LA11.2.R2.S29.L001	Metazoa_16s_LA11.2.R3.S30.L001	Metazoa_16s_LA11.3.R1.S31.L001	Metazoa_16s_LA11.3.R2.S32.L001	Metazoa_16s_LA11.3.R3.S33.L001	Metazoa_16s_LA11.4.R1.S34.L001	Metazoa_16s_LA11.4.R2.S35.L001	Metazoa_16s_LA11.4.R3.S36.L001	Metazoa_16s_LA11.Blank.S90.L001	Metazoa_16s_LA14.1.R1.S37.L001	Metazoa_16s_LA14.1.R2.S38.L001	Metazoa_16s_LA14.1.R3.S39.L001	Metazoa_16s_LA14.2.R1.S40.L001	Metazoa_16s_LA14.2.R2.S41.L001	Metazoa_16s_LA14.2.R3.S42.L001	Metazoa_16s_LA14.3.R1.S43.L001	Metazoa_16s_LA14.3.R2.S44.L001	Metazoa_16s_LA14.3.R3.S45.L001	Metazoa_16s_LA14.4.R1.S46.L001	Metazoa_16s_LA14.4.R2.S47.L001	Metazoa_16s_LA14.4.R3.S48.L001	Metazoa_16s_LA14.Blank.S91.L001	Metazoa_16s_LA3.1.R2.S2.L001	Metazoa_16s_LA3.1.R3.S3.L001	Metazoa_16s_LA3.2.R1.S4.L001	Metazoa_16s_LA3.2.R2.S5.L001	Metazoa_16s_LA3.2.R3.S6.L001	Metazoa_16s_LA3.3.R1.S7.L001	Metazoa_16s_LA3.3.R2.S8.L001	Metazoa_16s_LA3.3.R3.S9.L001	Metazoa_16s_LA3.4.R1.S10.L001	Metazoa_16s_LA3.4.R2.S11.L001	Metazoa_16s_LA3.4.R3.S12.L001	Metazoa_16s_LA3.Blank.S88.L001	Metazoa_16s_LA3.LA11.ext.S95.L001	Metazoa_16s_LA6.1.R2.S14.L001	Metazoa_16s_LA6.1.R3.S15.L001	Metazoa_16s_LA6.2.R1.S16.L001	Metazoa_16s_LA6.2.R2.S17.L001	Metazoa_16s_LA6.2.R3.S18.L001	Metazoa_16s_LA6.3.R1.S19.L001	Metazoa_16s_LA6.3.R2.S20.L001	Metazoa_16s_LA6.3.R3.S21.L001	Metazoa_16s_LA6.4.R1.S22.L001	Metazoa_16s_LA6.4.R2.S23.L001	Metazoa_16s_LA6.4.R3.S24.L001	Metazoa_16s_LA6.Blank.S89.L001	Metazoa_16s_LA6.LA14.LB2.ext.S97.L001	Metazoa_16s_LB1.0.R2.S86.L001	Metazoa_16s_LB1.0.R3.S87.L001	Metazoa_16s_LB1.1.R2.S50.L001	Metazoa_16s_LB1.1.R3.S51.L001	Metazoa_16s_LB1.2.R1.S52.L001	Metazoa_16s_LB1.2.R2.S53.L001	Metazoa_16s_LB1.2.R3.S54.L001	Metazoa_16s_LB1.3.R1.S55.L001	Metazoa_16s_LB1.3.R2.S56.L001	Metazoa_16s_LB1.3.R3.S57.L001	Metazoa_16s_LB1.4.R1.S58.L001	Metazoa_16s_LB1.4.R2.S59.L001	Metazoa_16s_LB1.4.R3.S60.L001	Metazoa_16s_LB1.Blank.S92.L001	Metazoa_16s_LB14.1.R2.S74.L001	Metazoa_16s_LB14.1.R3.S75.L001	Metazoa_16s_LB14.2.R1.S76.L001	Metazoa_16s_LB14.2.R2.S77.L001	Metazoa_16s_LB14.2.R3.S78.L001	Metazoa_16s_LB14.3.R1.S79.L001	Metazoa_16s_LB14.3.R2.S80.L001	Metazoa_16s_LB14.3.R3.S81.L001	Metazoa_16s_LB14.4.R1.S82.L001	Metazoa_16s_LB14.4.R2.S83.L001	Metazoa_16s_LB14.4.R3.S84.L001	Metazoa_16s_LB14.Blank.S94.L001	Metazoa_16s_LB2.1.R1.S61.L001	Metazoa_16s_LB2.1.R2.S62.L001	Metazoa_16s_LB2.1.R3.S63.L001	Metazoa_16s_LB2.2.R1.S64.L001	Metazoa_16s_LB2.2.R2.S65.L001	Metazoa_16s_LB2.2.R3.S66.L001	Metazoa_16s_LB2.3.R1.S67.L001	Metazoa_16s_LB2.3.R2.S68.L001	Metazoa_16s_LB2.3.R3.S69.L001	Metazoa_16s_LB2.4.R1.S70.L001	Metazoa_16s_LB2.4.R2.S71.L001	Metazoa_16s_LB2.4.R3.S72.L001	Metazoa_16s_LB2.Blank.S93.L001	Metazoa_16s_PCR.neg1.S96.L001	Metazoa_16s_PCR.neg2.S99.L001	Metazoa_16s_LA11.1.R1.S25.L001	Metazoa_16s_LA3.1.R1.S1.L001	Metazoa_16s_LB1.0.R1.S85.L001	Metazoa_16s_LB1.1.R1.S49.L001	Metazoa_16s_LB1.LB14.ext.S98.L001	Metazoa_16s_LB14.1.R1.S73.L001
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;NA;;	383	426	415	477	1383	1050	376	861	802	1101	333	0	0	174	3187	391	389	784	66	0	468	372	747	432	0	771	1510	2067	781	1232	2707	2104	2417	4354	892	733	78	1	459	234	532	751	506	428	30	172	50	1535	1193	0	0	176	6746	0	34	0	608	378	353	284	1114	0	141	14	0	220	448	332	178	204	395	245	428	111	253	1337	2	0	10	239	1459	957	81	582	6403	931	9740	938	1513	1	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Phidoloporidae;Phidolopora;Phidolopora pacifica	72	0	22	63	23	298	244	190	2342	459	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	96	21	1	47	0	68	20	48	1	138	1	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	2	0	364	0	0	0	0	0	0	0	53	289	3	0	0	0	0	17	0	0	0	0	0	0	1	0	7	0	0	0	12	0	3	0	4	2	0	1	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Phidoloporidae;Rhynchozoon;Rhynchozoon sp. MHD-2004	1621	37	520	84	1064	38	141	205	144	558	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	38	109	437	67	659	30	0	141	0	0	26	143	0	0	7	0	0	0	0	35	0	0	0	0	458	0	0	14	253	166	829	14	194	0	0	207	0	0	0	21	0	0	5	72	0	0	0	0	0	0	0	0	279	255	0	142	985	0	908	1144	213	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Romancheinidae;Escharoides;Escharoides angela	0	0	0	0	0	0	0	28	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Savignyellidae;Savigyniella;Savigyniella lafonti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	22	0	0	35	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	87	0	18	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;Schizoporella;Schizoporella erratoidea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Scrupariidae;Eucratea;Eucratea loricata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Scrupariidae;Scruparia;Scruparia sp. H729	0	50	0	0	8	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	105	0	128	0	21	0	0	15	41	5	0	0	0	387	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049	0	0	0	0	0	0	0	0	20	0	0	0	0	0	159	0	0	0	0	0	0	0	77	329	0	0	3	0	295	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Smittinidae;Smittina;Smittina torques	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Thalamoporellidae;Thalamoporella;Thalamoporella californica	598	166	51	178	1221	292	84	149	378	409	239	0	0	100	1064	128	1006	59	769	47	88	243	96	80	0	226	395	1202	845	698	2411	422	2015	436	402	333	18	2	217	379	354	127	198	414	71	269	85	63	608	0	0	3	244	279	1	0	0	48	0	6	129	135	0	0	1	88	96	49	187	49	119	300	74	57	1156	2079	0	0	4	361	619	516	283	470	1959	1766	863	955	842	1	1	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Watersiporidae;Watersipora;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Watersiporidae;Watersipora;Watersipora sp. CA-2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Watersiporidae;Watersipora;Watersipora subtorquata	0	0	0	0	0	0	11	40	0	268	0	1	0	0	0	30	292	0	0	0	98	0	57	0	0	0	147	19	16	19	14	0	0	0	71	52	1	0	55	0	295	0	17	0	0	71	67	63	0	0	0	0	887	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	12	96	181	0	384	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium sp. ALCY-1	0	0	0	0	1459	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	21	0	17	0	36	14	0	0	0	0	0	0	0	77	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	3	0	0	46	9187	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Farrellidae;Farrella;Farrella repens	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Hislopiidae;Hislopia;Hislopia cambodgiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Hislopiidae;Hislopia;Hislopia natans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Nolellidae;Anguinella;Anguinella palmata	7	0	0	6	59	43	116	110	83	137	46	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	43	74	27	27	38	0	55	0	18	0	1	0	0	0	13	0	0	0	0	3	0	46	0	0	0	20	0	0	34	0	0	53	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	8	192	566	17	160	0	133	28	136	145	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Paludicellidae;Paludicella;Paludicella articulata	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	81	107	551	67	38	100	76	28	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	2693	258	292	1091	1574	171	233	39	178	92	0	0	0	0	0	0	0	0	0	0	75	426	0	0	0	0	16413	4297	5041	715	556	506	696	6614	2167	2748	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia cf. citrina AW-2014	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia cf. gracilis AW-2014	5	62	4	198	1316	43	56	58	322	882	11	0	0	66	10	7	0	14	10	50	12	0	0	3	0	54	55	48	104	94	15	123	468	48	137	49	1	0	24	77	103	15	95	31	33	22	0	93	295	0	0	0	0	0	0	57	0	95	0	51	20	318	63	0	1	19	0	0	3	0	24	0	0	0	0	90	0	0	0	27	814	33	55	160	1174	160	1056	441	743	0	1	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia evelinae	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	5	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia verticillata	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	2	1	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	4	2	4	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	0	1	1	4	7	1	0	0	1	0	0	1	1	1	7	3	0	3	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia vidovici	173	99	527	243	1406	257	120	228	987	380	0	0	0	96	256	181	2434	1916	134	265	522	1001	633	216	0	102	111	732	119	181	664	218	625	335	135	106	41	1	575	1126	394	1476	1135	1066	73	297	85	3510	2478	0	0	7	4694	0	244	0	297	4	0	180	62	734	124	0	0	256	477	224	439	228	141	235	698	156	1556	2754	0	0	13	79	227	1459	166	1925	877	2743	7401	1047	4292	3	3	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Vesicularia;Vesicularia spinosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta setosa	42	99000	20085	74142	964	66284	29	119168	156	100184	59900	0	0	52	144	61	243	39	177	72	90350	200	37758	83403	4	57	45841	127	47	75	198	49	122	62	96	34137	6	15	173	349	41071	62059	506	675	16737	246	62	47319	831	14	0	5	16	31570	67	25	270	19	96	27	84	52	107609	63	1	84	74591	23	84	165	111	20	38576	27255	7356	187	2	0	8	38	2	14	4	27	68	38023	11	41	35	12	7	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Pedinophyceae;Marsupiomonadales;Resultomonadaceae;Resultomonas;Resultomonas moestrupii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Leptoderma;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Betta;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax eurostus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax meleagris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Telmatherinidae;Telmatherina;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;NA;;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	1	3	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1196	0	82	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Pseudotylosurus;Pseudotylosurus angusticeps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
