Seq_number	New_name	Site	Bio_rep	Site_station	Station	Tech_rep	Replicate_per_station	k	k_station	Time_passed_h	Start_volume_mL	End_volume_mL	Volume_filtered_mL	Latitude	Longitude	Salinity	DO_mg_l	pH	CTD_depth	Sample_control	Control_Type
LA3.Blank.S88.L001	Blank_1	LA3	Blank	Blank	NA	Blank	NA	NA	3	40	1000	100	900	NA	NA	NA	NA	NA	NA	Control	Blank
LA11.1.R1.S25.L001	LA11_1_1	LA11	1	LA11_1	S3	1	1	12	3	40	1000	30	970	33.71333333	-118.26225	34.36	7.73	8.2	13.5	Sample	NA
LA11.1.R2.S26.L001	LA11_1_2	LA11	1	LA11_1	S3	2	2	12	3	40	1000	10	990	33.71333333	-118.26225	34.36	7.73	8.2	13.5	Sample	NA
LA11.1.R3.S27.L001	LA11_1_3	LA11	1	LA11_1	S3	3	3	12	3	40	1000	90	910	33.71333333	-118.26225	34.36	7.73	8.2	13.5	Sample	NA
LA11.2.R1.S28.L001	LA11_2_1	LA11	2	LA11_2	S3	1	4	12	3	40	1000	0	1000	33.71225	-118.2596167	34.32	7.6	8.21	12.9	Sample	NA
LA11.2.R2.S29.L001	LA11_2_2	LA11	2	LA11_2	S3	2	5	12	3	40	1000	60	940	33.71225	-118.2596167	34.32	7.6	8.21	12.9	Sample	NA
LA11.2.R3.S30.L001	LA11_2_3	LA11	2	LA11_2	S3	3	6	12	3	40	1000	0	1000	33.71225	-118.2596167	34.32	7.6	8.21	12.9	Sample	NA
LA11.3.R1.S31.L001	LA11_3_1	LA11	3	LA11_3	S3	1	7	12	3	40	1000	5	995	33.71133333	-118.2569333	34.31	7.43	8.22	13.6	Sample	NA
LA11.3.R2.S32.L001	LA11_3_2	LA11	3	LA11_3	S3	2	8	12	3	40	1000	70	930	33.71133333	-118.2569333	34.31	7.43	8.22	13.6	Sample	NA
LA11.3.R3.S33.L001	LA11_3_3	LA11	3	LA11_3	S3	3	9	12	3	40	1000	0	1000	33.71133333	-118.2569333	34.31	7.43	8.22	13.6	Sample	NA
LA11.4.R1.S34.L001	LA11_4_1	LA11	4	LA11_4	S3	1	10	12	3	40	1000	70	930	33.71043333	-118.2545833	34.38	7.32	8.24	13.8	Sample	NA
LA11.4.R2.S35.L001	LA11_4_2	LA11	4	LA11_4	S3	2	11	12	3	40	1000	5	995	33.71043333	-118.2545833	34.38	7.32	8.24	13.8	Sample	NA
