,Location,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,Level,Station
117,3,17,extrapolated,0,64.083,56.609,71.557,1,1,1,Location,S1
118,3,18,extrapolated,0,64.083,56.602,71.565,1,1,1,Location,S1
119,3,19,extrapolated,0,64.083,56.596,71.57,1,1,1,Location,S1
120,3,20,extrapolated,0,64.083,56.592,71.574,1,1,1,Location,S1
121,3,21,extrapolated,0,64.083,56.589,71.577,1,1,1,Location,S1
122,3,22,extrapolated,0,64.083,56.587,71.579,1,1,1,Location,S1
123,3,23,extrapolated,0,64.083,56.586,71.581,1,1,1,Location,S1
124,3,24,extrapolated,0,64.083,56.585,71.582,1,1,1,Location,S1
125,3,25,extrapolated,0,64.083,56.584,71.583,1,1,1,Location,S1
126,3,26,extrapolated,0,64.083,56.583,71.584,1,1,1,Location,S1
127,3,27,extrapolated,0,64.083,56.583,71.584,1,1,1,Location,S1
128,3,28,extrapolated,0,64.083,56.582,71.584,1,1,1,Location,S1
129,3,29,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
130,3,30,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
131,3,31,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
132,3,32,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
133,3,33,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
134,3,34,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
135,3,35,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
136,3,36,extrapolated,0,64.083,56.582,71.585,1,1,1,Location,S1
137,3,37,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
138,3,38,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
139,3,39,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
140,3,40,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
141,3,41,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
