,term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
34,group,LA3_1-LA11_2,0,-0.0114981720201169,-0.259043006715022,0.236046662674788,1
35,group,LA3_2-LA11_2,0,-0.0510851724790524,-0.298630007173957,0.196459662215852,0.999999994886282
36,group,LA3_3-LA11_2,0,-0.0305700016759031,-0.278114836370808,0.216974833019002,1
37,group,LA3_4-LA11_2,0,-0.00917097835834291,-0.256715813053248,0.238373856336562,1
38,group,LA6_1-LA11_2,0,-0.0115409857242327,-0.259085820419137,0.236003848970672,1
39,group,LA6_2-LA11_2,0,0.0271073168263846,-0.22043751786852,0.274652151521289,1
40,group,LA6_3-LA11_2,0,-0.0108711412966469,-0.258415975991552,0.236673693398258,1
41,group,LA6_4-LA11_2,0,-0.0253013513079655,-0.27284618600287,0.222243483386939,1
42,group,LB1_1-LA11_2,0,-0.139458573402558,-0.416222112330936,0.137304965525819,0.96419430477911
43,group,LB1_2-LA11_2,0,0.0394520178983614,-0.208092816796543,0.286996852593266,0.999999999988833
44,group,LB1_3-LA11_2,0,0.00170673750674788,-0.245838097188157,0.249251572201653,1
45,group,LB1_4-LA11_2,0,0.0917570707827775,-0.155787763912127,0.339301905477682,0.999424971793861
46,group,LB14_1-LA11_2,0,-0.0521213384617725,-0.299666173156677,0.195423496233132,0.999999991927178
47,group,LB14_2-LA11_2,0,-0.0499047294616928,-0.297449564156598,0.197640105233212,0.999999997006166
48,group,LB14_3-LA11_2,0,-0.111500961890372,-0.359045796585277,0.136043872804532,0.99038257380673
49,group,LB14_4-LA11_2,0,0.0129880173448939,-0.234556817350011,0.260532852039799,1
50,group,LB2_1-LA11_2,0,0.0271369973127752,-0.220407837382129,0.27468183200768,1
51,group,LB2_2-LA11_2,0,0.012775734428729,-0.234769100266176,0.260320569123634,1
52,group,LB2_3-LA11_2,0,-0.0324672893044152,-0.28001212399932,0.215077545390489,1
53,group,LB2_4-LA11_2,0,0.058227868900689,-0.189316965794216,0.305772703595594,0.999999905469314
54,group,LA11_4-LA11_3,0,0.03707584870547,-0.210468985989435,0.284620683400375,1
55,group,LA14_1-LA11_3,0,-0.0966777161543073,-0.344222550849212,0.150867118540597,0.99869707574357
56,group,LA14_2-LA11_3,0,-0.100994378241593,-0.348539212936498,0.146550456453312,0.997505534850535
57,group,LA14_3-LA11_3,0,-0.10881797761847,-0.356362812313374,0.138726857076435,0.992988426254506
58,group,LA14_4-LA11_3,0,-0.0943591700053631,-0.341904004700268,0.153185664689542,0.999104156835546
59,group,LA3_1-LA11_3,0,-0.0706905423497689,-0.318235377044674,0.176854292345136,0.999994704055543
60,group,LA3_2-LA11_3,0,-0.110277542808704,-0.357822377503609,0.1372672918862,0.991654225650504
61,group,LA3_3-LA11_3,0,-0.0897623720055551,-0.33730720670046,0.15778246268935,0.999597668158779
62,group,LA3_4-LA11_3,0,-0.0683633486879949,-0.3159081833829,0.17918148600691,0.999997278791623
63,group,LA6_1-LA11_3,0,-0.0707333560538847,-0.318278190748789,0.17681147864102,0.999994640536747
64,group,LA6_2-LA11_3,0,-0.0320850535032674,-0.279629888198172,0.215459781191637,1
65,group,LA6_3-LA11_3,0,-0.0700635116262989,-0.317608346321204,0.177481323068606,0.999995558488457
66,group,LA6_4-LA11_3,0,-0.0844937216376175,-0.332038556332522,0.163051113057287,0.999855076764437
67,group,LB1_1-LA11_3,0,-0.19865094373221,-0.475414482660588,0.0781125951961672,0.51860051677318
