sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,0.6646789471911165,0.5946120999634025,1,0.8289555396510216,0.8201657476054752,0.6535313723355822,0.5494901348286225
Eukaryota;Annelida;Clitellata;Haplotaxida;;;,0.07965364581617183,0.18031637919625496,0.28744389171896995,0.8908750206450355,0.38864116043862323,1,0
Eukaryota;Annelida;Clitellata;Haplotaxida;Megascolecidae;;,0.03136917238845859,0.01697322851849284,0.01887656131269439,0.8856972516861334,0,0.012685455581193826,1
Eukaryota;Annelida;Polychaeta;;;;,0.08851180549060488,0.008733239485183258,0,0.058319779288631426,0,1,0.00754646041260495
Eukaryota;Annelida;Polychaeta;;Nereididae;Gymnonereis;Gymnonereis crosslandi,0.27717604452645256,0,1,0,0.3607726028610751,0,0
Eukaryota;Annelida;Polychaeta;;Orbiniidae;Scoloplos;,0,0,0.69447552559349,0.028369787353205975,0.028326483096854337,1,0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis,0.07840184953808971,0.23671288822603073,0.14982119532115035,0,0,0.47986622211227525,1
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis,0.08352315717671005,0.309085920510348,0.005911654290321164,1,0.0024327992663075336,0.750682509971218,0.007357930144713758
Eukaryota;Annelida;Polychaeta;NA;Chaetopteridae;Chaetopterus;Chaetopterus variopedatus,0.24209091344683653,0.08322540688187313,0.8020446361223353,0.07383440467105999,0.6783901130667133,0.11205331612097302,1
Eukaryota;Annelida;Polychaeta;NA;Chrysopetalidae;Paleanotus;Paleanotus bellis,0.24632508643497955,0,1,0,0.24751012833735908,0,0.45062569463395885
Eukaryota;Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BMOO-04339,0.9214778633484584,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Scoloplos;Scoloplos sp. CMC02,0,0.06684017037630922,0.17834587725499473,0.025932091044839234,0.014085524210995019,1,0
Eukaryota;Annelida;Polychaeta;NA;Poecilochaetidae;Poecilochaetus;Poecilochaetus martini,0.6268953974032306,0.3232857754080125,0.774060042931526,1,0.7546067797852237,0.7578424675320302,0.4373823502512176
Eukaryota;Annelida;Polychaeta;NA;Spionidae;Paraprionospio;Paraprionospio alata,0.5316507053602466,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;NA;Syllidae;Syllis;NA,0,0,0,0.001633884021906508,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Goniadidae;Glycinde;Glycinde wireni,0,0,0,0.15619866154445264,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Goniadidae;Goniada;Goniada maculata,1,0.19569056221302972,0,0.2869866338011594,0.28211044518428285,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Amphiduros;Amphiduros pacificus,0,0,1,0,0,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Bipalponephtys;Bipalponephtys cornuta,0.4202286301722278,0,0,1,0.1501704261905738,0.7145869803033672,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;Eumida longicornuta,0,0,0,0.8785627797794423,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;;,0.2083319476436269,0.03768525677096513,0.0604041417616228,0.013025813587687118,1,0.23541301026990152,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Halosydna;,0,0.4813784423524334,1,0.24342821356846925,0.5786650954262166,0.03211652869576148,0.029778432873531473
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;Chone infundibuliformis,0.007732439584559684,0.13592549067091264,0.017625925111474174,0.11292787975657531,0.001969528457660827,1,0.007807870231601813
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;Myxicola;Myxicola infundibulum CMC02,0,0.4026657072238796,0,1,0,0,0
Eukaryota;Annelida;Polychaeta;Spionida;Chaetopteridae;Chaetopterus;Chaetopterus variopedatus,0.24711257890872315,0.08171405114745565,1,0.035798236649595715,0.5638417879439741,0.03148429894156992,0.8048394611011832
Eukaryota;Annelida;Polychaeta;Spionida;Cirratulidae;Cirriformia;Cirriformia cf. tentaculata HK-2018,0,1,0,0.3974945883181932,0,0,0
Eukaryota;Annelida;Polychaeta;Spionida;Cirratulidae;Tharyx;Tharyx sp. CMC01,0,0,0,0,0,1,0
Eukaryota;Annelida;Polychaeta;Terebellida;Cirratulidae;Timarete;NA,0.07951669009815074,1,0.061379459290198446,0.4041940628970578,0.02374569789333147,0.1690877742957821,0.03885898734284606
Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Amaeana;Amaeana occidentalis,0.5924854413879095,0,0.9899812116610153,0.729653834054113,0.33304689128113185,1,0.9229136331347748
Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Pista;Pista wui,0,1,0,0.651030038166914,0,0.5611136466813557,0
Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Thelepus;Thelepus crispus,0.006405885064625005,0.10888161712275123,0.0102010492856821,0.1259646768053936,0,1,0.01418503300970362
Eukaryota;Annelida;Polychaeta;Terebellida;Trichobranchidae;NA;Trichobranchidae sp. BOLD:AAY8419,0.3096065278863367,0,0,0,0,1,0
Eukaryota;Arthropoda;;;;;,0.1750191378707787,0.09713645211924957,0.3235602569923186,0.11818388994897835,0.12718154084532368,1,0.0615533354650909
Eukaryota;Arthropoda;;;Pollicipedidae;Pollicipes;Pollicipes polymerus,0,0.006202603703021722,0,0,1,0,0
Eukaryota;Arthropoda;;Sessilia;Tetraclitidae;Tetraclita;,0,4.1344990875959945e-4,1,0,6.696906840089567e-4,0,0
Eukaryota;Arthropoda;Arachnida;;;;,0.2747339648389948,0,1,0,0,0,0
Eukaryota;Arthropoda;Arachnida;Araneae;Orsolobidae;Osornolobus;Osornolobus sp. 2 NCP-2017,0.6966999005500979,0.6677759766485415,0.7245449777552644,0.620636092137771,0.13520481595587233,1,0
Eukaryota;Arthropoda;Arachnida;Araneae;Theridiidae;Phoroncidia;Phoroncidia scutula,0.3834137208029265,0.14024776150721338,0.8229545714493544,0.06629459334610131,1,0.14247970854627076,0.11033947803362916
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;;;,1,0,0,0,0,0.5682881087251136,0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Podonidae;;,0.02671365774796484,0.01059264492537614,0.019316867931231683,0.028077100836657376,0.11713168999812007,0.004589595266906895,1
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Podonidae;Pleopis;,0,0,0,0,1,0,0.8362977474900235
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Sididae;Penilia;Penilia avirostris,1,0,0,0.16778096459850902,0.2291307764074219,0.26519011297107586,0
Eukaryota;Arthropoda;Hexanauplia;;;;,0.038148071330620204,0.05736817409167317,0,1,0,0.14041352462874448,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;;;,1,0.8526298563421141,0,0.44871797133854996,0.004580654550151485,0.008564816305424043,0.17372745772765874
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;Acartia californiensis,1,0.641446187479823,0.10711737749372781,0.2623627329137311,0.004501499400340326,0.2530474278927644,0.24778359965688257
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;Ctenocalanus;Ctenocalanus vanus,0,0,0,0.44454147662613425,0,1,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calocalanidae;Calocalanus;,0.05880007801219317,0.13276869605049335,0.05041947202601361,0.05384563199624125,1,0.09631020857355681,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Candaciidae;Candacia;Candacia bispinosa,0,0,0,0.8523013923403829,0,1,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Centropages;Centropages tenuiremis,0.4360025123265985,1,0.38936343794325096,0.5398500717450655,0,0.6413250308964997,0.1900133326447159
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus furcatus,0.21149181905539477,0,0,0,1,0,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013,0.554358147112585,0.6547608526658861,0.23927455178056004,0.2655446122991537,0.37782347295374874,1,0.07923594866008493
