sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,0.6903425335261051,0.6930115177874231,1,0.9805071651089865,0.8137889761036101,0.6737340583858422,0.6179544864658939
Eukaryota;;Phaeophyceae;Fucales;Durvillaeaceae;Durvillaea;Durvillaea potatorum,0.9487512789432712,0,0.6982430258223193,0,0.36938184615923225,1,0
Eukaryota;;Phaeophyceae;Fucales;Durvillaeaceae;Durvillaea;Durvillaea sp. A CIF-2010,0.6479720965060999,0.37000462649285576,0.287047492629936,0.7424195280207655,0.27333497351967856,1,0.3142200493076053
Eukaryota;;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria solidungula,0,1,0,0,0,0,0
Eukaryota;;Phaeophyceae;Laminariales;Laminariaceae;Saccharina;,0,0,0,0,0,1,0
Eukaryota;;Phaeophyceae;Tilopteridales;;;Tilopteridales sp. _3GWS,0,0,0,1,0,0,0
Eukaryota;;Raphidophyceae;;;;,0,0,0,0,0,1,0
Eukaryota;;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;,0.4234751977220875,0.4131199552896081,0.5234357487625462,0.6112504792724981,0.15156183212829286,1,0.21334560742676484
Eukaryota;;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;Chattonella subsalsa,0.6713765147904255,0,0,0,0,1,0
Eukaryota;;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo,0.38045544069883125,0,1,0,0.5246076946869757,0.20885755809961112,0.8209966748761163
Eukaryota;Annelida;;;;;,0.0038200171327134706,0.014380447436690582,0,0.054718872482646674,0.04089979938299947,1,0
Eukaryota;Annelida;Clitellata;;;;,0,0,0,0,0,1,0
Eukaryota;Annelida;Clitellata;Haplotaxida;;;,0.07850947116915631,0.1994369265108337,0.2727826655152536,1,0.36595075988917763,0.9783308453632101,0
Eukaryota;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Cernosvitoviella;Cernosvitoviella minor,0,0,0,1,0,0,0
Eukaryota;Annelida;Clitellata;Haplotaxida;Enchytraeidae;NA;Enchytraeidae sp. E9,0,0,0,0,0,1,0
Eukaryota;Annelida;Clitellata;Haplotaxida;Megascolecidae;;,0.028970712733421767,0.01759035395918637,0.01678519122036616,0.9315544412840477,0,0.011628710021239422,1
Eukaryota;Annelida;Polychaeta;;;;,0.08917268565230159,0.00987324736313397,0,0.06691343784767101,0,1,0.008232236265629618
Eukaryota;Annelida;Polychaeta;;Nereididae;;,1,0,0,0,0,0.2352716572492045,0.3082758891621678
Eukaryota;Annelida;Polychaeta;;Nereididae;Gymnonereis;Gymnonereis crosslandi,0.2878779501287823,0,1,0,0.35796760343346573,0,0
Eukaryota;Annelida;Polychaeta;;Nereididae;Nereis;Nereis mediator,0,0,1,0,0,0,0
Eukaryota;Annelida;Polychaeta;;Orbiniidae;Naineris;,0,1,0.6037196505645173,0,0.15552293358316252,0,0.5459353442171565
Eukaryota;Annelida;Polychaeta;;Orbiniidae;Scoloplos;,0,0,0.6736508829343838,0.03255019182112097,0.02726344738438208,1,0
Eukaryota;Annelida;Polychaeta;;Sabellariidae;Phragmatopoma;Phragmatopoma californica,0,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;;Syllidae;Myrianida;Myrianida pentadentata,0,0,0.45007176505863983,0.41455322133486633,1,0,0.8211276057083732
Eukaryota;Annelida;Polychaeta;;Syllidae;Odontosyllis;Odontosyllis phosphorea,0,1,0,0,0,0,0
Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Barantolla;Barantolla americana CMC02,0,0,1,0,0,0,0.79218977400327
Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Capitella;Capitella nonatoi,0,0,0,0,0,1,0
Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Capitella;Capitella teleta,1,0,0,0.02851523836139919,0,0.05447675377751139,0
Eukaryota;Annelida;Polychaeta;Capitellida;Maldanidae;Praxillella;Praxillella affinis,0,0,0,0,0,0,1
Eukaryota;Annelida;Polychaeta;Capitellida;Scalibregmatidae;Pseudoscalibregma;Pseudoscalibregma parvum,1,0,0,0,0,0,0
Eukaryota;Annelida;Polychaeta;Eunicida;;;,0,0,0,0,0.2955054769273858,1,0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis,0.0724073122685454,0.2453194739033029,0.13322222043896106,0,0,0.4398915837286913,1
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis,0.07897470031160661,0.3279550388959973,0.0053819220631808546,1,0.002197580668661897,0.7045417514751133,0.007533219565643849
Eukaryota;Annelida;Polychaeta;Eunicida;Eunicidae;;,0.1877511443306645,0.7656879055234563,0,1,0,0,0.49518829154452865
Eukaryota;Annelida;Polychaeta;Golfingiida;Golfingiidae;Nephasoma;Nephasoma rimicola,0,0,0,0,0,1,0
Eukaryota;Annelida;Polychaeta;NA;Chaetopteridae;Chaetopterus;Chaetopterus variopedatus,0.22358085262779875,0.08625137897922135,0.7131845870428186,0.0776571988452591,0.5985398830518741,0.10271885875512556,1
Eukaryota;Annelida;Polychaeta;NA;Chrysopetalidae;Paleanotus;Paleanotus bellis,0.25583582112713754,0,1,0,0.24558574227586769,0,0.506771918303345
Eukaryota;Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BMOO-04339,0.9645559867613962,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:ACQ6769,0,0,0,0,0,1,0
Eukaryota;Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. JOD_0448,1,0,0,0,0,0,0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis,0,0,0.703680893172669,1,0,0,0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Naineris;Naineris dendritica CMC04,0,0,0,1,0,0,0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Scoloplos;Scoloplos sp. CMC02,0,0.07556526269993526,0.17299797221487664,0.029753290968425328,0.013556922929502257,1,0
Eukaryota;Annelida;Polychaeta;NA;Poecilochaetidae;Poecilochaetus;Poecilochaetus martini,0.5504631570099698,0.31854718574594054,0.6544178191082096,1,0.6330111265608276,0.6605131474881792,0.41585153629835314
Eukaryota;Annelida;Polychaeta;NA;Sabellariidae;Neosabellaria;Neosabellaria cementarium,1,0,0,0,0,0,0
Eukaryota;Annelida;Polychaeta;NA;Spionidae;Paraprionospio;Paraprionospio alata,0.5565048180948283,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;NA;Spionidae;Rhynchospio;NA,1,0,0,0,0,0,0
Eukaryota;Annelida;Polychaeta;NA;Spionidae;Spiophanes;NA,0.10842871759351672,0,0.5699943067937301,0,0.8970701978152783,1,0
Eukaryota;Annelida;Polychaeta;NA;Syllidae;Megasyllis;Megasyllis nipponica,0,0,0,1,0,0,0
Eukaryota;Annelida;Polychaeta;NA;Syllidae;Syllis;NA,0,0,0,0.0018746435306118497,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;;;,0,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera americana,0,0,1,0,0,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Goniadidae;Glycinde;Glycinde wireni,0,0,0,0.1792151746565603,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Goniadidae;Goniada;Goniada maculata,1,0.2195957255330643,0,0.32683495263050777,0.26951108471114776,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Amphiduropsis;Amphiduropsis cf. axialensis GWR-2018,0,0,0.3650675310444673,1,0.3585437766090395,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Amphiduros;Amphiduros pacificus,0,0,1,0,0,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Micropodarke;Micropodarke dubia,1,0.9411245379988471,0,0,0,0.6862090003101798,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Oxydromus;Oxydromus pugettensis,1,0,0,0,0,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Bipalponephtys;Bipalponephtys cornuta,0.36899358232453267,0,0,1,0.12597229869319565,0.6228129403348615,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;;,0,0,0,0,1,0.28200266945918817,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Namanereis;Namanereis sp. NWW-2012,1,0,0,0,0,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;;,0,0,0,0.6615148358646565,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eulalia;Eulalia gracilior,0,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;Eumida longicornuta,0,0,0,1,0,0.9920412429484293,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Phyllodoce;Phyllodoce pettiboneae,0.34155046041957765,0,0.02579715612644037,0.1596759948638826,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;;,0.21807124764030636,0.044265769099009214,0.06087746275894618,0.015527953353506593,1,0.2445920562492761,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Halosydna;,0,0.5610393817840876,1,0.2879323391626611,0.5741659864346362,0.03310935042357819,0.03348871076613858
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;,0,0,0,0,0,1,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidasthenia;Lepidasthenia berkeleyae,0,0.739047870095959,1,0,0,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Thormora;Thormora setosior,0,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Sphaerodoridae;Ephesiella;Ephesiella sp. SPH232,0,0,0,0,1,0,0
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;NA;Sabellariidae sp. BP2010-403,0.8729460421972134,0,0,1,0.02935853638111875,0,0
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Phragmatopoma;Phragmatopoma californica,0.2446175024592652,0,0,0,1,0.30231218874727606,0
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;Chone infundibuliformis,0.007790174435799348,0.153668749680591,0.01709739159451699,0.1295682657844673,0.0018956160316083196,1,0.008517401399278653
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;Chone sp. BP2010-395,0,0,0,1,0,0,0
